StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q27,Q28,Q1,Q2,Q2_3_TEXT,Q3,Q17,Q20,Q13,Q14,Q20,Q4,Q5,Q9,Q6,Q7,Q7_4_TEXT,Q8,Q22,Q23,Q10,Q12,Q15,Q25,Q26,Q18,Q18_13_TEXT,Q19,Q21,Q21_8_TEXT,Q29,Q14 - Topics,Q14 - Parent Topics
8/15/19 9:05,8/15/19 9:09,IP Address,100,228,TRUE,8/15/19 9:09,R_2dDXO3rWjY0rCVi,anonymous,EN,US,Georgia,Yes,Academic,,,2016,Yes,Yes,"2.00 file fee plus 10 cents per minute for the laser; 2.00 file fee and 10 cents per gram for 3D printing.  Vinyl cutting, sewing machines, embroidery machine, heat press all free.",50+,,,Private,Baccalaureate/Associate's College,,,600,No,,Yes,"students, faculty, staff, and approved alumnae",,,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other","sewing machine, embroidery machine, heat press",thingiverse,Student workers,,24 hour badge access is enabled for after passing a safety quiz,Unknown,
8/15/19 11:30,8/15/19 11:31,IP Address,100,39,TRUE,8/15/19 11:31,R_yQQtLItMHcD6vi9,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 11:45,8/15/19 11:47,IP Address,100,130,TRUE,8/15/19 11:47,R_2OYznIwuiNmldz1,anonymous,EN,United States,New Jersey ,Yes,Academic,,,2014,No,No,,21-30,,,Public,Baccalaureate/Associate's College,,,9000,Yes,Full-time Librarian/Faculty,No,,No,No,,"3D Printer,Audio/Video Software,Audio/Video Equipment,Microcontrollers,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,Part-time dedicated staff,,,,
8/15/19 12:34,8/15/19 12:37,IP Address,100,158,TRUE,8/15/19 12:37,R_12zN0UwTcuGfxjA,anonymous,EN,United States,Alabama,Yes,Academic,,,2015,Yes,No,,50+,,,Public,Master's College or University,,,2300,Yes,Full-time Librarian/Faculty,No,,No,No,,"3D Printer,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Raspberry Pi,VR Technology",,,Full-time dedicated staff,,Recording number of classes and number of individual users ,,
8/15/19 13:23,8/15/19 13:23,IP Address,100,31,TRUE,8/15/19 13:23,R_6Rl88cVSKHaUdG1,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 14:34,8/15/19 14:36,IP Address,100,98,TRUE,8/15/19 14:36,R_114QGthd0BENSTg,anonymous,EN,United States,Michigan,Yes,Academic,,,Nov-18,Yes,No,,20-Nov,,,Public,Doctoral University,,,24000,Yes,Staff,No,,No,No,,"3D Printer,Microcontrollers,Raspberry Pi,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,Student volunteers,,Attendance records,,
8/15/19 15:08,8/15/19 15:15,IP Address,100,417,TRUE,8/15/19 15:15,R_1ouaQ6ruw50XExB,anonymous,EN,United States ,Nevada,Yes,Academic,,,2019,Yes,No,,31-40,,,Public,Doctoral University,,,,Yes,Administrator,Yes,"Current students, faculty and staff",No,No,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other",sewing machine,"tinkercad, cura, thingiverse","Full-time dedicated staff,Student workers",,"swipe in with student ID and staff keeps a log of patron interactions (including in-depth consultations, etc.)",,
8/15/19 15:47,8/15/19 15:48,IP Address,100,48,TRUE,8/15/19 15:48,R_2PoPcGbiGQ3GPsp,anonymous,EN,USA,Alabama,No,Academic,,,,,,,,,,Private,Master's College or University,,,1204,,,,,,,,,,,,,,,
8/16/19 7:31,8/16/19 7:32,IP Address,100,54,TRUE,8/16/19 7:32,R_1ptgQbWMNfVO0U1,anonymous,EN,USA,Alabama,No,Academic,,,,,,,,,,Public,Doctoral University,,,14000,,,,,,,,,,,,,,,
8/16/19 13:26,8/16/19 13:41,IP Address,100,896,TRUE,8/16/19 13:41,R_24tPAKhQ5TxC13k,anonymous,EN,USA,Alabama,Yes,Academic,,,2015,Yes,Yes,"We do not charge to use, but printing is based on the filament and ounces of the finished product(s).",0-10,,,Public,Doctoral University,,,6100,Yes,Full-time Librarian/Faculty,No,,No,No,University library budget,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Raspberry Pi,VR Technology,AR Technology,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,,"Full-time dedicated staff,Student workers,Graduate assistants",,Booking through SpringShare Lib Cal,Unknown,
8/16/19 20:56,8/17/19 5:30,IP Address,100,30821,TRUE,8/17/19 5:30,R_ai6jNxST6Nj8xxf,anonymous,EN,United States,Texas,Yes,Academic,,,Oct-14,Yes,No,,50+,,,Public,Doctoral University,,,38140,I don't know,,No,,Yes,Yes,,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,VR Technology,AR Technology,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other","Sewing machines, embroidery machines, CNC, plastic bending machine, vacuum forming machine, power tools",,"Full-time dedicated staff,Student workers",,"Surveys, cardswipe, focus groups",,
8/19/19 8:06,8/19/19 9:33,IP Address,100,5208,TRUE,8/19/19 9:33,R_uwyj4mvlL9unUWJ,anonymous,EN,United States,Wisconsin,Yes,Academic,,,2018 September,Yes,No,,31-40,,,Public,Master's College or University,,,10000,No,,Yes,"Students, Faculty, Staff",No,Yes,We charge for any materials of value over $0.25. 3D printer charge: $0.05/g.,"3D Printer,Vinyl Cutter,Laser Cutter,Microcontrollers,Raspberry Pi,VR Technology,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other","Hand tools (saw, screw drivers, etc), Power hand tools (drill, jigsaw), exhaust hood, Fabrics (sewing machine, serger), 3D scanner",PrusaSlicer,"Part-time dedicated staff,Student workers",,We scan University ID every time a user uses the space,,
8/20/19 8:44,8/20/19 8:55,IP Address,100,674,TRUE,8/20/19 8:55,R_3JC7r0gCIa2VTMH,anonymous,EN,United States,TX,Yes,Academic,,,2018,Yes,No,,50+,,,Private,Doctoral University,,,16120,Yes,Administrator,No,,No,No,No,"3D Printer,Vinyl Cutter,Laser Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Raspberry Pi,VR Technology,AR Technology,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other",Hand Tools and drill press,Cura,"Student workers,Student volunteers",,"Training logs, check in data, usage surveys, reservation details/survey",,
8/20/19 13:30,8/20/19 13:36,IP Address,100,351,TRUE,8/20/19 13:36,R_2S0QJgiA2Ux29OV,anonymous,EN,United States,Rhode Island,Yes,Public,,"Medium (Collection Size > 100,001 and < 500,000)",2016,Yes,Yes,Nominal fees for use of materials,0-10,No,,,,,,,,,,,,,,"3D Printer,Audio/Video Software,Audio/Video Equipment,VR Technology,AR Technology",,"Audacity, VLC Media Player, Cura",Full-time dedicated staff,,Counting amount of users & surveys,Unknown,
8/20/19 14:07,8/20/19 14:09,IP Address,100,109,TRUE,8/20/19 14:09,R_3ek1moef8yTI9ls,anonymous,EN,USA,SC,Yes,Academic,,,Aug-19,Yes,No,,20-Nov,,,Public,Doctoral University,,,25000,Yes,Full-time Librarian/Faculty,No,,No,Yes,,"3D Printer,Vinyl Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other",Fabric printer,,Student workers,,Gate count,,
8/21/19 7:40,8/21/19 7:45,IP Address,100,353,TRUE,8/21/19 7:45,R_1EXtKUXStsR9TQV,anonymous,EN,US,Alabama,Yes,Academic,,,fall 2019,Yes,Yes,small fee + cost of materials,31-40,,,Public,Baccalaureate/Associate's College,,,,Yes,Full-time Librarian/Faculty,Yes,"students, faculty, staff",No,No,,"3D Printer,Vinyl Cutter,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other",poster printer,slic3r,"Full-time dedicated staff,Student workers",,"sign in sheet plus ""check outs"" to use equipment",Unknown,
8/14/19 12:15,8/14/19 12:15,IP Address,4,13,FALSE,8/21/19 12:16,R_2V4QTE4J4B2Pike,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 12:40,8/14/19 12:41,IP Address,18,32,FALSE,8/21/19 12:41,R_3MuoQ9pFfLeyySk,anonymous,EN,United States,California,Yes,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 13:43,8/14/19 13:43,IP Address,4,15,FALSE,8/21/19 13:43,R_2qmUYEBrLJShjSF,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/19 15:33,8/14/19 15:33,IP Address,4,19,FALSE,8/21/19 15:33,R_1mwSoSZYfN5f5jl,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 5:55,8/15/19 5:55,IP Address,4,13,FALSE,8/22/19 5:56,R_1jdgbHdReCDQ77a,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/19 12:34,8/22/19 8:56,IP Address,100,73321,TRUE,8/22/19 8:56,R_9uY6JVA775BGLND,anonymous,EN,United States,North Carolina,Yes,Academic,,,Jan-17,Yes,No,,50+,,,Public,Doctoral University,,,19500,Yes,Full-time Librarian/Faculty,No,,No,Yes,"No, just regular library budget.","3D Printer,Vinyl Cutter,Laser Cutter,Raspberry Pi,VR Technology,AR Technology,Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.)",,"Inkscape, Blender, Gimp.","Part-time dedicated staff,Student workers",,We use SUMA and instruction statistics,,
8/15/19 9:43,8/15/19 9:43,IP Address,4,21,FALSE,8/22/19 9:43,R_2tujyaw5eGTmzNU,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/19 8:41,8/15/19 16:23,IP Address,4,27722,FALSE,8/22/19 16:23,R_1DHxRYUYeax7P0S,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/19 7:39,8/23/19 7:41,IP Address,100,122,TRUE,8/23/19 7:41,R_28TcfVS2duQO8t6,anonymous,EN,USA,NY,Yes,Academic,,,2008,Yes,Yes,laminate supplies ($1/sheet),50+,,,Private,Baccalaureate/Associate's College,,,2000,Yes,Full-time Librarian/Faculty,No,,No,No,no,"Audio/Video Software,Audio/Video Equipment,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.)",,,None,,none,Unknown,
8/16/19 15:23,8/16/19 15:23,IP Address,4,11,FALSE,8/23/19 15:30,R_1oipquTywIdqwEE,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/19 10:28,8/19/19 10:28,IP Address,4,14,FALSE,8/26/19 10:29,R_2P1kyGOGNskhZoM,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/19 22:56,8/27/19 23:02,IP Address,100,389,TRUE,8/27/19 23:02,R_2QoIouTfuKz1pFm,anonymous,EN,Pakistan,Karachi - Sindh,Yes,Academic,,,2017,Yes,No,,20-Nov,,,Private,Master's College or University,,,900,No,,No,,,,,"Vinyl Cutter,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Other","Snapcircuits, littlebits, makey makey",,Full-time dedicated staff,,"Its open to students, whenever they want to come, they can come, the space is not integrated with academic programs",,
8/21/19 0:29,8/21/19 0:29,IP Address,4,38,FALSE,8/28/19 0:30,R_1lcOhd4ucFcNh4V,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/19 19:49,8/28/19 19:49,IP Address,100,38,TRUE,8/28/19 19:49,R_3gXWPRapxhPwx34,anonymous,EN,New Zealand,Canterbury,No,Academic,,,,,,,,,,Public,Doctoral University,,,2500,,,,,,,,,,,,,,,
9/1/19 17:02,9/1/19 17:05,IP Address,100,207,TRUE,9/1/19 17:05,R_3p6dYMSbncgObrY,anonymous,EN,Australia,Queensland,Yes,Other,State Library Insitution,,2012,Yes,No,,20-Nov,,,,,,,,,,,,,,,"3D Printer,Vinyl Cutter,Laser Cutter,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.),Electronics Hardware (Capacitors, Resistors, Soldering Equipment, etc.),Other",CNC Router,All closed sourced software solutions are paired with FOSS options. We have FOSS 3D printers and CNC machines for use in the space.,"Part-time dedicated staff,Community volunteers",,"Attendance metrics, case studies of users usage and review from a community development framework. Involvement if programmatic offerings in the space and public engagements programs",,
9/4/19 14:27,9/4/19 14:27,IP Address,100,33,TRUE,9/4/19 14:27,R_1oHcHyvUeCfviPz,anonymous,EN,USA,Colorado,No,Public,,"Small (Collection Size > 30,000 and < 100,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/19 14:28,9/4/19 14:28,IP Address,100,31,TRUE,9/4/19 14:28,R_3PH5PBX1mW54rmf,anonymous,EN,USA,Texas,No,Academic,,,,,,,,,,Private,Master's College or University,,,3500,,,,,,,,,,,,,,,
9/4/19 14:26,9/4/19 14:29,IP Address,100,170,TRUE,9/4/19 14:29,R_1kXNK0BCnMB3KXE,anonymous,EN,United States,Alabama,Yes,Public,,"Large (Collection Size > 500,001)",2008,No,Yes,Charge per ounce of filament for the 3-D printing,20-Nov,No,,,,,,,,,,,,,,"3D Printer,Vinyl Cutter,Green Screen,Audio/Video Software,Audio/Video Equipment,Microcontrollers,Raspberry Pi,Art/Crafting Supplies (Construction Paper, Paint, LEGO, etc.)",,,Part-time dedicated staff,,Contact staff or request in person,Unknown,
9/4/19 14:40,9/4/19 14:40,IP Address,100,11,TRUE,9/4/19 14:40,R_XGj1CNQ53uHS2Zj,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
